time,reason,dir,station,cat_type,day
12:53 PM,Train unloaded pax at Magallanes Stn SB at 12:53pm due to technical problem. ,South Bound,Magallanes,CAT 3,"March 21, 2017"
4:41 PM,"Train experienced technical problem, unloaded passengers at Santolan Station SB 4;48pm",South Bound,Cubao - Santolan Anapolis,CAT 3,"March 20, 2017"
5:16 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"March 19, 2017"
7:00 AM,Train unloaded passengers due to technical problem.,North Bound,Boni Avenue,CAT 3,"March 17, 2017"
1:12 PM,Train unloaded pax at 1:12pm at Magallanes Stn NB due to technical problem.,North Bound,Magallanes,CAT 2,"March 16, 2017"
4:10 PM,"Train experienced technical problem 4;10pm, unloaded passengers at Santolan Station NB.",North Bound,Ortigas - Santolan Anapolis,CAT 3,"March 14, 2017"
1:52 PM,"Service interruption, provisional service implemented from North - Shaw Blvd Stns NB/SB 2PM.",North Bound,Guadalupe,CAT 4,"March 13, 2017"
9:07 AM,Train unloaded passenger due to technical problem.,South Bound,GMA Kamuning,CAT 2,"March 12, 2017"
2:53 PM,Normal operations North - Taft Stations SB/NB resumed.,North Bound,Guadalupe,CAT 1,"March 09, 2017"
3:17 PM,Train unloaded passengers due to technical problem.,North Bound,Ortigas,CAT 3,"March 07, 2017"
4:47 PM,Signaling problem occurred at both bounds.,South Bound,Quezon Avenue - Santolan Anapolis,CAT 1,"March 06, 2017"
12:31 PM,Train unloaded passengers at Cub Stn NB 12:31pm due to technical problem.,North Bound,Cubao,CAT 2,"March 05, 2017"
9:17 AM,Train unloaded passengers at Cubao Station SB at 9:17 AM due to technical problem.,South Bound,Cubao,CAT 3,"March 01, 2017"
10:33 PM,Train unloaded passengers at Magallanes Station NB 10:33pm due to technical problem.,North Bound,Magallanes,CAT 3,"February 26, 2017"
6:03 AM,Service interruption due to tracks problem at Ayala to Magallanes SB as of 6:03 AM.,South Bound,Ayala Avenue - Magallanes,CAT 4,"February 25, 2017"
6:34 AM,Normal operation resumes at 6:34 am from North Ave. Station to Taft Ave Station.,South Bound,Ayala Avenue - Magallanes,CAT 1,"February 24, 2017"
6:58 PM,Train unloaded passengers at Cubao Station SB at 6:58 PM due to technical problem.,South Bound,Cubao,CAT 2,"February 22, 2017"
2:58 PM,Train unloaded passengers at Buendia NB at 2:58 PM due to technical problem.,North Bound,Buendia,CAT 2,"February 21, 2017"
7:01 AM,"Train experienced technical problem, unloaded passengers at Cubao Station SB 07:04 am.",South Bound,GMA Kamuning - Cubao,CAT 3,"February 20, 2017"
7:15 AM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 07:18 am.",North Bound,Cubao - GMA Kamuning,CAT 3,"February 19, 2017"
4:28 PM,Train unloaded passengers at Cubao Station SB at 4:28PM due to technical problem.,South Bound,Cubao,CAT 3,"February 18, 2017"
8:25 PM,Train unloaded passengers at Shaw Blvd. Station SB AT 8:25PM due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"February 16, 2017"
4:54 PM,Train unloaded passengers at Kamuning Station SB at 4:54 pm due to technical problem.,South Bound,GMA Kamuning,CAT 2,"February 13, 2017"
5:25 AM,Train unloaded pax at Quezon Ave Stn SB at 5:25am due to technical problem.,South Bound,Quezon Avenue,CAT 3,"February 13, 2017"
10:27 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"February 11, 2017"
8:48 AM,Train unloaded pax at Cubao Stn SB at 8:55am due to technical problem.,South Bound,GMA Kamuning - Cubao,CAT 3,"February 07, 2017"
8:29 AM,Train unloaded pax at Guadalupe Stn SB at 8:29am due to technical problem.,South Bound,Guadalupe,CAT 3,"February 05, 2017"
1:48 PM,Train unloaded pax at Shaw Blvd Stn NB at 1:48pm due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"February 04, 2017"
2:40 PM,"Train experienced technical problem, unloaded passengers at Kamuning Station NB 2:43pm",North Bound,Cubao - GMA Kamuning,CAT 3,"February 03, 2017"
5:44 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"February 02, 2017"
4:05 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"February 01, 2017"
10:14 PM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 3,"January 31, 2017"
8:29 PM,"Train experienced technical problem, passengers will be unloaded at Ayala Station NB.",North Bound,Magallanes - Ayala Avenue,CAT 3,"January 30, 2017"
6:46 PM,Train stopped due to technical problem.,North Bound,Ayala Avenue - Buendia,CAT 2,"January 27, 2017"
7:03 PM,Train unloaded passengers due to technical problem.,North Bound,Buendia,CAT 2,"January 26, 2017"
8:23 AM,Service interruption due to technical problem at 8:23AM at Santolan to Ortigas SB.,South Bound,Santolan Anapolis - Ortigas,CAT 4,"January 25, 2017"
8:36 AM,Normal operation resumed at 8:36 AM.,South Bound,Santolan Anapolis - Ortigas,CAT 1,"January 24, 2017"
8:41 AM,Train unloaded passenger due to technical problem.,South Bound,Ortigas,CAT 3,"January 23, 2017"
9:02 PM,Train unloaded passengers due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"January 21, 2017"
9:34 PM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"January 20, 2017"
6:08 AM,Train removed from the mainline due to technical problem.,South Bound,North Avenue,CAT 3,"January 18, 2017"
5:15 AM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3,"January 17, 2017"
8:04 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3,"January 16, 2017"
11:10 AM,Train unloaded pax at Boni Stn SB at 1110am due to technical problem.,South Bound,Boni Avenue,CAT 3,"January 14, 2017"
4:53 PM,Train unloaded passengers due to technical problem.,South Bound,Buendia,CAT 3,"January 13, 2017"
7:29 AM,Train unloaded pax at Shaw Blvd Stn SB at 7:29am due to technical problem.,South Bound,Shaw Boulevard,CAT 2,"January 12, 2017"
4:37 AM,Service interruption due to Signaling problem at 4:37 AM.,South Bound,North Avenue - Quezon Avenue,CAT 4,"January 11, 2017"
4:57 AM,Normal operation resumed at 4:57AM.,South Bound,North Avenue - Quezon Avenue,CAT 1,"January 10, 2017"
3:00 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"January 09, 2017"
10:27 PM,Train unloaded passengers at 10:27 PM due to technical problem.,North Bound,Boni Avenue,CAT 3,"January 07, 2017"
6:35 PM,Service Interruption due to technical problem. ,North Bound,Buendia,CAT 4,"January 05, 2017"
6:55 PM,Normal operation resumed at 6:55 PM.,North Bound,Buendia,CAT 1,"January 04, 2017"
7:02 AM,Train unloaded passenger due to technical problem.,South Bound,Shaw Boulevard,CAT 2,"January 02, 2017"
3:45 PM,Train unloaded passengers due to technical problem.,South Bound,Guadalupe,CAT 3,"December 30, 2016"
6:48 AM,"Train experienced technical problem, unloaded passengers at Shaw pocket track 0652am.",South Bound,Ortigas - Shaw Boulevard,CAT 3,"December 29, 2016"
6:51 AM,Service Interruption due to technical problem at 6:51AM.,North Bound,Cubao - GMA Kamuning,CAT 4,"December 28, 2016"
7:10 AM,Provisional Service implemented from Shaw to Taft  at 7:10AM.,South Bound,Shaw Boulevard - Taft Avenue,CAT 4,"December 27, 2016"
7:31 AM,"Provisional service from Shaw Blvd to Taft Station NB/SB lifted as of 0731 am, normal operation resumed.",South Bound,Shaw Boulevard - Taft Avenue,CAT 1,"December 24, 2016"
9:01 AM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 2,"December 23, 2016"
3:59 PM,Train unloaded pax at Shaw Blvd SB 359pm due to technical problem.,South Bound,Shaw Boulevard,CAT 2,"December 22, 2016"
10:11 PM,Train unloaded passengers due to technical problem.,North Bound,Ortigas,CAT 3,"December 20, 2016"
6:41 AM,Train unloaded passenger due to technical problem.,South Bound,Ortigas,CAT 3,"December 19, 2016"
6:44 AM,Resumed normal operation.,South Bound,Ortigas,CAT 3,"December 17, 2016"
10:22 AM,Train stopped due to technical problem.,North Bound,Buendia - Guadalupe,CAT 2,"December 15, 2016"
10:28 AM,Defective train moved to Guadalupe station.,North Bound,Buendia - Guadalupe,CAT 2,"December 14, 2016"
10:31 AM,Train unloaded passenger due to technical problem.,North Bound,Guadalupe,CAT 2,"December 12, 2016"
10:33 AM,Resumed normal operation.,North Bound,Guadalupe,CAT 2,"December 10, 2016"
6:41 PM,Train unloaded passenger due to technical problem.,North Bound,Boni Avenue,CAT 2,"December 07, 2016"
6:46 PM,Resumed normal train operation.,North Bound,Boni Avenue,CAT 2,"December 06, 2016"
6:37 AM,Train unloaded passengers due to technical problem. ,South Bound,Santolan Anapolis,CAT 2,"December 05, 2016"
9:08 AM,Train unloaded passenger due to technical problem.,South Bound,Boni Avenue,CAT 3,"December 04, 2016"
4:43 PM,Train unloaded passenger due to technical problem.,North Bound,GMA Kamuning,CAT 3,"December 03, 2016"
4:44 PM,Resumed normal operation.,North Bound,GMA Kamuning,CAT 3,"December 02, 2016"
6:52 AM,Provisional Service implemented from North Ave. Station to Shaw Station.,South Bound,Ayala Avenue,CAT 4,"December 01, 2016"
8:10 AM,Train unloaded passengers due to technical failure.,North Bound,Cubao,CAT 3,"November 29, 2016"
8:14 AM,Normal operation resumed 0814H.,North Bound,Cubao,CAT 1,"November 28, 2016"
4:30 PM,Train Index 14 unloaded passenger due to technical problem.,North Bound,Santolan Anapolis,CAT 2,"November 26, 2016"
4:32 PM,Resumed normal operation.,North Bound,Santolan Anapolis,CAT 2,"November 25, 2016"
9:51 PM,Train Index 25 unloaded passenger due to technical problem.,North Bound,Boni Avenue,CAT 2,"November 24, 2016"
9:53 PM,Resumed normal operation.,North Bound,Boni Avenue,CAT 2,"November 23, 2016"
7:26 PM,Train Index 16 unloaded passenger due to technical problem.,North Bound,Buendia,CAT 2,"November 22, 2016"
9:28 AM,Train unloaded passengers due to technical problem.,North Bound,Magallanes,CAT 3,"November 21, 2016"
9:30 AM,Normal operation resume at 9:30 AM.,North Bound,Magallanes,CAT 1,"November 19, 2016"
4:15 PM,Train unloaded passenger due to technical problem.,North Bound,Guadalupe,CAT 3,"November 18, 2016"
4:20 PM,Resumed normal operation.,North Bound,Guadalupe,CAT 3,"November 17, 2016"
9:15 AM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 2,"November 15, 2016"
9:17 AM,Normal operation resume at 9:17 AM.,South Bound,Quezon Avenue,CAT 1,"November 14, 2016"
10:57 AM,Train unloaded passengers due to technical problem.,South Bound,Magallanes,CAT 2,"November 11, 2016"
8:20 AM,Train unload passengers due to technical problem.,North Bound,Buendia,CAT 3,"November 08, 2016"
8:26 AM,Normal operation resume at 0826H.,North Bound,Buendia,CAT 1,"November 07, 2016"
1:43 PM,Train unload passengers due to technical problem.,North Bound,Ortigas,CAT 2,"November 06, 2016"
1:45 PM,Normal operation resume at 1345H.,North Bound,Ortigas,CAT 1,"November 05, 2016"
4:14 PM,Train unload passengers due to technical problem.,South Bound,Guadalupe,CAT 3,"November 04, 2016"
4:17 PM,Normal operation resumes at 1617H.,South Bound,Guadalupe,CAT 1,"November 02, 2016"
5:44 AM,Train unload passengers due to technical problem.,South Bound,Santolan Anapolis,CAT 3,"October 31, 2016"
8:06 PM,Train unloaded passengers due to train failure at 2006H.,North Bound,Shaw Boulevard,CAT 1,"October 27, 2016"
8:06 PM,Normal operation resumed after 2 minutes.,North Bound,Shaw Boulevard,CAT 1,"October 26, 2016"
9:14 PM,Train unloaded passengers due to train failure at 2114H.,North Bound,Shaw Boulevard,CAT 1,"October 25, 2016"
9:14 PM,Normal Operation resumed after 2 minutes. ,North Bound,Shaw Boulevard,CAT 1,"October 24, 2016"
4:08 AM,Track repair on-going at North station.  All trains are inserted to Quezon station SB.,South Bound,North Avenue,CAT 4,"October 23, 2016"
5:20 AM,Finished track repair.  Resumed normal operation.,South Bound,North Avenue,CAT 4,"October 22, 2016"
1:54 PM,Service interruption due to signaling problem.,South Bound,North Avenue - Santolan Anapolis,CAT 4,"October 21, 2016"
1:07 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1310H.,South Bound,Santolan Anapolis,CAT 3,"October 20, 2016"
4:08 PM,Train unload passengers at Kamuning stn SB due to train failure at 1614H.  ,South Bound,Quezon Avenue - GMA Kamuning,CAT 3,"October 19, 2016"
4:14 PM,Normal operation resumed at 1616H.,South Bound,GMA Kamuning,CAT 1,"October 18, 2016"
6:57 PM,Train unloaded passengers due to train failure at 1857H.,North Bound,Boni Avenue,CAT 3,"October 17, 2016"
6:57 PM,Normal operation resumed at 1900H.,North Bound,Boni Avenue,CAT 1,"October 14, 2016"
10:22 AM,Train unload passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"October 13, 2016"
10:25 AM,Normal operation resume at 1025H.,North Bound,Ayala Avenue,CAT 1,"October 12, 2016"
6:02 AM,Train unloaded passenger due to technical problem.,South Bound,Buendia,CAT 3,"October 11, 2016"
6:04 AM,Resumed normal operation.,South Bound,Buendia,CAT 3,"October 10, 2016"
6:03 AM,Train unloaded passengers at Santolan station SB due to train failures at 0610H.,South Bound,GMA Kamuning - Cubao,CAT 3,"October 09, 2016"
6:10 AM,Normal operation resumed at 0612h.,South Bound,Santolan Anapolis,CAT 1,"October 08, 2016"
12:09 PM,Train unloaded passengers due to train failure at 1211H.,South Bound,Boni Avenue,CAT 3,"October 07, 2016"
12:09 PM,Normal operation resumed at 1213H.,South Bound,Boni Avenue,CAT 1,"October 06, 2016"
12:22 PM,Train unloaded passengers at 1223H due to train failure.,South Bound,Cubao,CAT 3,"October 05, 2016"
6:02 PM,"Train experienced technical problem, will not load passengers at Taft Station.",South Bound,Magallanes - Taft Avenue,CAT 3,"October 04, 2016"
6:05 PM,Resumed operation at 1805H after 3 minutes.,South Bound,Magallanes - Taft Avenue,CAT 1,"October 03, 2016"
8:53 AM,Train unloaded passengers at Magallanes Station NB at 0856H due to train failure.,North Bound,Taft Avenue - Magallanes,CAT 3,"October 02, 2016"
8:56 AM,Resume operation at 0859H after 3 minutes.,North Bound,Magallanes,CAT 1,"October 01, 2016"
8:58 AM,Train unloaded passengers at Magallanes Station SB at 0900H due to train failure.,South Bound,Ayala Avenue - Magallanes,CAT 3,"September 29, 2016"
9:00 AM,Resume operation at 0902H after 2 minutes.,South Bound,Magallanes,CAT 1,"September 28, 2016"
10:27 AM,Train unloaded passengers due to train failure.,South Bound,Cubao,CAT 3,"September 27, 2016"
2:16 PM,Service interruption due to technical problem. Intervention on-going.,North Bound,North Avenue,CAT 4,"September 26, 2016"
2:33 PM,Normal operations resumed 1433h.,North Bound,North Avenue,CAT 1,"September 25, 2016"
5:14 PM,"Train unloaded passengers due to technical problem, normal operations resumed 1717H.",North Bound,Ortigas,CAT 3,"September 24, 2016"
6:13 AM,Train unloaded passengers due to train failure . Normal operation resumed at 0616H.,South Bound,Ortigas,CAT 2,"September 22, 2016"
9:48 AM,Train unloaded passengers at Magallanes Station NB due to train failure at 0953H. Normal operation resumed at 0955H.,North Bound,Taft Avenue - Magallanes,CAT 3,"September 21, 2016"
11:32 AM,Train unloaded passengers due to train failure at 1132H. Normal operation resumed at 1134H.,North Bound,Guadalupe,CAT 3,"September 20, 2016"
12:08 PM,Service interruption due to technical problem. All trains were advised to stop at nearest stations. Normal operation resumed at 1226H.,North Bound,North Avenue,CAT 4,"September 19, 2016"
8:02 AM,Train unloaded passengers due to train failure. Normal operation resumed at 0807H.,South Bound,Santolan Anapolis,CAT 3,"September 19, 2016"
8:04 AM,Train unloaded passengers due to train failure. Normal operation resumed 0807H.,North Bound,Ortigas,CAT 3,"September 16, 2016"
9:52 AM,Train unloaded passengers due to train failure. Normal operation resumed at 0954H.,North Bound,Buendia,CAT 3,"September 15, 2016"
8:08 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0813H.,North Bound,Quezon Avenue,CAT 3,"September 14, 2016"
9:29 PM,Train unloaded passengers due to technical problem. Normal operations resumed 2131H.,South Bound,Shaw Boulevard,CAT 3,"September 12, 2016"
8:26 AM,"Train unloaded passengers due to technical problem, normalized 0828H.",South Bound,Buendia,CAT 3,"September 10, 2016"
9:57 AM,Train unload passengers at 0957H at Shaw Station NB due to train failure. Normal operation resumed at 0959H.	,North Bound,Shaw Boulevard,CAT 3,"September 09, 2016"
8:36 PM,Train unloaded passengers due to train failure. Normal operation resumed 2039H.,South Bound,Buendia,CAT 2,"September 07, 2016"
7:23 AM,Train unloaded passengers due to train failure. Normal operation resumed 0730H.,North Bound,Boni Avenue,CAT 3,"September 06, 2016"
2:32 PM,Train unloaded passengers due to train failure. Normal operation resumed 1434H.,North Bound,Ortigas,CAT 2,"September 04, 2016"
5:49 AM,Train unloaded passengers due to train failure. Normal operation resumed 0553H.,South Bound,Cubao,CAT 3,"September 03, 2016"
6:14 AM,Train unloaded passengers due to train failure. Normal operation resumed 0718H.,North Bound,GMA Kamuning,CAT 3,"September 02, 2016"
4:59 PM,Train unloaded passengers due to train failure. Normal operation resumed 1703H.,South Bound,Ortigas,CAT 3,"September 01, 2016"
4:41 PM,Train unloaded passengers due to train failure. Normal operation resumed 1647H.,North Bound,Santolan Anapolis,CAT 2,"August 31, 2016"
6:37 AM,"Train unloaded passengers due to technical problem, normal operations resumed 0640H.",South Bound,Ortigas,CAT 3,"August 30, 2016"
10:29 AM,"Train unloaded passengers due to technical problem, normal operations resumed 1032H.",South Bound,Ortigas,CAT 3,"August 29, 2016"
4:23 PM,Train unloaded passengers at GMA Kamuning Station SB at 1628H due to train failure. Normal operation resumed 1630H.,South Bound,Quezon Avenue - GMA Kamuning,CAT 3,"August 26, 2016"
8:00 PM,Train unloaded passengers due to train failure. Normal operation resumed 2004H.,South Bound,Cubao,CAT 3,"August 25, 2016"
8:23 PM,Train unloaded passengers due to train failure. Normal operation resumed 2026H.,South Bound,Ortigas,CAT 3,"August 23, 2016"
12:05 PM,"Train unloaded passengers due to technical problem, normal operations resumed 1207H.",South Bound,Ortigas,CAT 3,"August 22, 2016"
10:25 PM,Train unloaded passengers at 2225H due to train failure. Normal operation resumes 2227H.,South Bound,Magallanes,CAT 3,"August 19, 2016"
8:44 AM,Train unloaded passengers at 0844H due to technical problem. Normal operations resumed 0846H.,South Bound,Buendia,CAT 3,"August 18, 2016"
9:11 AM,Train unloaded passengers at 0911H due to technical problem. Normal operations resumed 0914H.,South Bound,Santolan Anapolis,CAT 3,"August 15, 2016"
9:22 AM,Train delay due to technical problem from North Avenue to Santolan Station NB/SB at 0922H. Normal operation resumed at 0938H.,North Bound,North Avenue - Santolan Anapolis,CAT 4,"August 13, 2016"
9:43 AM,Train delay due to technical problem at Shaw Boulevard Station NB at 0943H. Normal operation resumed 0953H.,North Bound,Shaw Boulevard,CAT 1,"August 12, 2016"
4:58 AM,Train delay due to technical problem from  North Avenue to Quezon Avenue SB at 0458H.,South Bound,North Avenue - Quezon Avenue,CAT 3,"August 10, 2016"
5:12 AM,Passengers safely unloaded at Quezon Avenue Station SB at 0519H and normal operation resumed. ,South Bound,North Avenue - Quezon Avenue,CAT 3,"August 09, 2016"
8:06 PM,Index 22 stopped at interstation Santolan and Cubaon NB due to train defect.  Intervention on-going. Expect delay in the arrival and departure of trains.,North Bound,Cubao - Santolan Anapolis,CAT 3,"August 08, 2016"
10:02 AM,Train unloaded passengers at Ayala NB at 1002H due to technical problem. Normal operations resumed 1004H.,North Bound,Ayala Avenue,CAT 2,"August 07, 2016"
5:44 AM,Train unloaded passengers at Ortigas SB at 0544H due to technical problem. Normal operations resumed 0547H.,South Bound,Ortigas,CAT 3,"August 05, 2016"
5:47 AM,Train experienced technical problem. Unloaded passengers at 0547H. Normal operations resumed at 0549H.,South Bound,Quezon Avenue,CAT 3,"August 04, 2016"
7:00 AM,"Train experienced technical problem, unloaded passengers at  0700H. Normal operations resumed 0705H.",South Bound,Cubao,CAT 3,"August 03, 2016"
10:04 AM,Train experienced technical problem. Unloaded passengers at 1004H. Normal operations resumed at 1008H,North Bound,Shaw Boulevard,CAT 1,"August 02, 2016"
1:33 PM,Train experienced technical problem. Unloaded passengers at 1333H. Normal operations resumed at 1338H.,South Bound,Santolan Anapolis,CAT 3,"July 31, 2016"
4:03 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1606H.,South Bound,Guadalupe,CAT 3,"July 30, 2016"
4:43 PM,Train experienced technical problem 1643H. Intervention on-going.,North Bound,Ortigas - Santolan Anapolis,CAT 3,"July 29, 2016"
4:43 PM,"Train movement resumed 1651H, unloaded passengers at Santolan Station NB 1655. Normal operations resumed 1657H",North Bound,Santolan Anapolis,CAT 3,"July 26, 2016"
7:11 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1914H.,South Bound,Santolan Anapolis,CAT 3,"July 25, 2016"
6:10 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0613H.,North Bound,Ortigas,CAT 3,"July 24, 2016"
12:25 PM,Train unloaded passengers at Buendia SB at 1225H due to technical problem. Normal operations resumed 1228H.,South Bound,Buendia,CAT 3,"July 23, 2016"
12:30 PM,Train delay due to technical problem at 1230H. Normal operation resumed at 1239H.,South Bound,Buendia - Ayala Avenue,CAT 3,"July 22, 2016"
6:33 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0635H.,South Bound,Buendia,CAT 3,"July 20, 2016"
6:39 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0645H.,South Bound,Ayala Avenue,CAT 3,"July 19, 2016"
8:10 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0814H.,South Bound,Cubao,CAT 3,"July 18, 2016"
2:33 PM,Train unloaded passengers at Quezon Ave. NB at 1439H due to technical problem. Normal operations resumed 1441H.,North Bound,Quezon Avenue,CAT 3,"July 17, 2016"
6:53 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0657H.,South Bound,Santolan Anapolis,CAT 3,"July 16, 2016"
7:22 AM,Train unloaded passengers due to technical problem. Temporarily used Shaw pocket track for Northbound trains. Normal operations resumed 0725H.,North Bound,Shaw Boulevard,CAT 3,"July 16, 2016"
7:59 AM,Train unloaded passengers due to technical problem.Normal operations resumed 0801H.,North Bound,Buendia,CAT 3,"July 15, 2016"
8:00 AM,Technical problem normalized 0800H. Use of Shaw pocket track of NB train lifted.,North Bound,Shaw Boulevard,CAT 1,"July 14, 2016"
6:51 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0654H.,South Bound,GMA Kamuning,CAT 3,"July 13, 2016"
10:07 AM,Train unloaded passengers due to technical problem. Normal operations resumed  1013H.,South Bound,Shaw Boulevard,CAT 3,"July 12, 2016"
4:04 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1608H.,North Bound,Santolan Anapolis,CAT 2,"July 11, 2016"
6:46 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1851H.,North Bound,Ortigas,CAT 3,"July 08, 2016"
7:05 PM,Train delay due to technical problem at 1905h. Normal operations resumed 1913H.,South Bound,Quezon Avenue - GMA Kamuning,CAT 3,"July 07, 2016"
6:14 AM,"Service interruption due to technical problem, unloaded passengers 0617h. Normal operations resumed 0634H.",South Bound,Ayala Avenue,CAT 4,"July 06, 2016"
8:04 AM,Train unloaded passengers due to technical problem.  Normal operations resumed 8:08 AM,North Bound,GMA Kamuning,CAT 3,"July 04, 2016"
11:34 AM,Train unloaded passengers due to technical problem. Normal operations resumed 1136H.,North Bound,Magallanes,CAT 3,"July 01, 2016"
12:38 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1241H.,South Bound,Boni Avenue,CAT 3,"June 29, 2016"
1:00 PM,"Service interruption due to technical problem, unloaded passengers at ortigas station SB. Normal operations resumed 1315H.",South Bound,Santolan Anapolis - Ortigas,CAT 4,"June 28, 2016"
4:37 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1640H.,North Bound,Santolan Anapolis,CAT 3,"June 24, 2016"
7:20 AM,Train unloaded passengers at 0720H due to technical problem.Normal operation resumed at 0723H.,South Bound,Santolan Anapolis,CAT 3,"June 23, 2016"
7:54 AM,Train unloaded passengers at 0754H due to technical problem.Normal operation resumed at 0758h.,South Bound,Shaw Boulevard,CAT 3,"June 22, 2016"
6:49 AM,Train unloaded passengers at 0650H due to technical problem.Normal operation resumed at 0654h.	,South Bound,Cubao,CAT 3,"June 21, 2016"
9:16 AM,Train unloaded passengers at Shaw Pocket Track at 0927H due to technical problem at Ortigas Station SB. ,South Bound,Shaw Boulevard,CAT 3,"June 19, 2016"
7:10 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1914H.,North Bound,Magallanes,CAT 2,"June 18, 2016"
9:52 PM,Train unloaded passengers due to technical problem. Normal operations resumed 2157H.,South Bound,Boni Avenue,CAT 3,"June 17, 2016"
8:22 AM,Train unloaded passengers due to technical problem at 0824H. Normal operations resumed 0827H.	,South Bound,Buendia,CAT 3,"June 16, 2016"
6:20 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0622H.,South Bound,Quezon Avenue,CAT 3,"June 15, 2016"
4:42 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1644H.,North Bound,Guadalupe,CAT 3,"June 10, 2016"
9:34 AM,Train unloaded passengers due to technical problem. Normal operations resumed 0937H.,South Bound,Ortigas,CAT 3,"June 09, 2016"
8:00 PM,Train unloaded passengers due to technical problem. Normal operations resumed 2002H.,North Bound,Cubao,CAT 3,"June 08, 2016"
8:41 PM,"Train experienced technical problem, unloaded passengers 2044H. Normal operations resumed 2048H.",South Bound,Quezon Avenue,CAT 3,"June 07, 2016"
2:20 PM,Train unloaded passengers due to technical problem. Normal operations resumed 1422H.,North Bound,Cubao,CAT 3,"June 06, 2016"
9:36 PM,"Train experienced technical problem, unloaded passengers at Santolan Station NB 2138H. Normal Operations resumed 2146H.",North Bound,Ortigas - Santolan Anapolis,CAT 3,"June 05, 2016"
10:50 AM,"Train experienced technical problem, unload passengers at 1050H. Normal operations resumed 1053H.",South Bound,Shaw Boulevard,CAT 3,"June 04, 2016"
12:15 PM,"Train experienced technical problem, unload passengers at GMA Kamuning Station SB at 1215H. Normal operations resumed 1217H.",South Bound,GMA Kamuning,CAT 2,"May 30, 2016"
1:12 PM,"Train experienced technical problem, unload passengers at Ortigas Station NB at 1327H. Normal operations resumed 1333H.",North Bound,Ortigas - Santolan Anapolis,CAT 3,"May 27, 2016"
6:31 PM,"Train experienced technical problem, unload passengers at Magallanes Station SB at 1831H. Normal operations resumed 1835H.",North Bound,Magallanes,CAT 3,"May 26, 2016"
7:26 AM,"Train experienced technical problem, unload passengers at Buendia Station SB at 0726H. Normal operations resumed 0729H.",South Bound,Buendia,CAT 3,"May 25, 2016"
1:27 PM,"Train experienced technical problem, unload passengers at Santolan Station SB at 0127H. Normal operations resumed 0130H.",South Bound,Santolan Anapolis,CAT 3,"May 21, 2016"
3:11 PM,"Train experienced technical problem, unload passengers at Guadalupe Station NB at 1512H. Normal operations resumed 1513H.",North Bound,Guadalupe,CAT 3,"May 20, 2016"
3:51 PM,"Train experienced technical problem, unload passengers at Magallanes Station NB at 1552H. Normal operations resumed 1555H.",North Bound,Magallanes,CAT 3,"May 18, 2016"
5:01 PM,Train experienced technical problem at interstation of Ortigas & Santolan NB. Unload passengers at Santolan Station NB at 1706H. Normal operations resumed 1713H.	,North Bound,Santolan Anapolis,CAT 2,"May 17, 2016"
7:27 PM,"Train experienced technical problem, unload passengers at Santolan Station NB at 1927H. Normal operations resumed 1929H.",North Bound,Santolan Anapolis,CAT 3,"May 14, 2016"
4:07 PM,"Train experienced technical problem, unload passengers at Magallanes Station NB at 1607H. Normal operations resumed 1610H.",North Bound,Magallanes,CAT 3,"May 13, 2016"
5:23 PM,"Train experienced technical problem, unload passengers at Santolan Station NB at 1723H. Normal operations resumed 1727H.",South Bound,Santolan Anapolis,CAT 3,"May 12, 2016"
